all_degree1,bi_degree1,depthT,in_degree1,out_degree1,pagerank1
1435,1661,75,2677,2605,2733
1059,1224,195,2145,2010,2136
1474,1650,315,2629,2605,2585
1088,1250,435,2277,2119,2147
1068,1275,555,2141,2067,2093
1162,1386,675,2209,2136,2243
1216,1367,795,2256,2141,2128
1637,1708,915,2840,2855,2843
1241,1337,1035,2289,2226,2242
1453,1548,1155,2673,2714,2562
1191,1427,1275,2339,2327,2438
1048,1201,1395,2043,2044,2038
1506,1650,1515,2608,2619,2627
1507,1679,1635,2648,2760,2692
1166,1385,1755,2314,2207,2158
1610,1697,1875,2671,2712,2730
1594,1651,1995,2738,2774,2782
1125,1309,2115,2338,2219,2217
943,1146,2235,2116,2125,1987
1637,1744,2355,2812,2984,2753
912,1073,2475,1971,1973,1885
1507,1468,2595,2536,2725,2637
1238,1308,2715,2214,2362,2264
954,1133,2835,2018,2010,1921
1651,1688,2955,2807,2931,2876
999,1148,3075,2100,2036,2095
1591,1537,3195,2557,2709,2640
1751,1893,3315,3015,3234,3086
1113,1282,3435,2143,2133,2039
1284,1463,3555,2367,2317,2384
1668,1643,3675,2620,2844,2799
1121,1333,3795,2155,2223,2183
1248,1337,3915,2293,2359,2388
1295,1389,4035,2354,2342,2366
1046,1260,4155,2119,2043,2071
1526,1558,4275,2569,2694,2664
