all_degree1,bi_degree1,in_degree1,out_degree1,pagerank1,scaleT
3137,4265,7262,7380,6637,75
3233,4272,7061,7538,6448,195
2699,3386,5794,5962,5508,315
3066,3840,6571,7092,6078,435
2775,3366,5728,5823,5297,555
3166,3902,6795,7300,6278,675
3070,3932,6547,7004,6089,795
3342,4174,7092,7678,6335,915
3110,3980,6592,7122,6063,1035
2982,3769,6500,6934,6044,1155
2864,3492,5877,6388,5457,1275
2411,2701,4696,4889,4527,1395
2705,3478,5707,6070,5511,1515
3027,3833,6056,6694,5661,1635
2482,3138,4766,5252,4764,1755
2930,3732,6085,6773,5584,1875
2506,3203,5135,5461,4871,1995
2394,2921,4728,4995,4512,2115
2957,3757,5820,6570,5468,2235
2862,3766,5656,6389,5521,2355
2489,3060,4728,5241,4666,2475
3050,3945,6166,6884,5738,2595
3163,3789,5819,6746,5421,2715
3122,3952,6079,6847,5610,2835
3019,3794,5787,6596,5779,2955
3054,3910,6083,7017,5729,3075
2970,3837,5853,6722,5576,3195
2966,3666,5652,6754,5561,3315
2341,2805,4427,4949,4273,3435
3245,4007,6416,7278,5828,3555
2244,2888,4528,4755,4354,3675
2489,3234,4944,5380,4744,3795
3495,4567,6803,8002,6156,3915
3104,3831,6199,7181,5769,4035
3134,3742,5811,6700,5562,4155
3333,4310,6686,7870,6169,4275
